"","X","Match","Date_planted","Year_planted","Mother_Canopy_Height_cm","Mother_Width_cm","Mother_Width_2_cm","Mother_Mother_LS","Mother_Length_1_mm","Mother_Length_2_mm","Mother_Length_3_mm","Mother_Stem_Elongation_1_mm","Mother_Stem_Elongation_2_mm","Mother_Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Mother_biovolume","SampleYear","Mother_mean_stem_elong","Mother_mean_leaf_length","Mother_mean_width","SampleID_standard","Site","Species","max_canopy_height_cm","population.x","max_mean_width_cm","population.y","max_biovol","population"
"239",239,"KP16Sp27","2016-07-09",2016,71,166,155,31.9,NA,NA,NA,NA,NA,NA,22.1,6.3,1826830,2016,NA,NA,160.5,"KP16SP27","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"240",240,"KP16Sp28","2016-07-09",2016,72,370,306,30.2,NA,NA,NA,NA,NA,NA,26.6,9.4,8151840,2016,NA,NA,338,"KP16SP28","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"241",241,"KP16Sp29","2016-07-09",2016,90,189,79,24.6,NA,NA,NA,NA,NA,NA,29.5,14.7,1343790,2016,NA,NA,134,"KP16SP29","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"242",242,"KP16Sp31","2016-07-09",2016,66,300,246,19,NA,NA,NA,NA,NA,NA,32.4,12.6,4870800,2016,NA,NA,273,"KP16SP31","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"243",243,"KP16Sp32","2016-07-09",2016,55,121,146,34,NA,NA,NA,NA,NA,NA,33.6,24.1,971630,2016,NA,NA,133.5,"KP16SP32","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"244",244,"KP16Sp33","2016-07-09",2016,91,158,85,25,NA,NA,NA,NA,NA,NA,45.4,16.6,1222130,2016,NA,NA,121.5,"KP16SP33","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"245",245,"KP16Sp34","2016-07-09",2016,75,125,94,15,NA,NA,NA,NA,NA,NA,42.6,13.9,881250,2016,NA,NA,109.5,"KP16SP34","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"246",246,"KP16Sp35","2016-07-09",2016,60,170,182,31,NA,NA,NA,NA,NA,NA,36.2,14,1856400,2016,NA,NA,176,"KP16SP35","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"247",247,"KP16Sp37","2016-07-09",2016,51,111,102,2.6,NA,NA,NA,NA,NA,NA,30,13.7,577422,2016,NA,NA,106.5,"KP16SP37","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"248",248,"KP16Sp38","2016-07-09",2016,71,121,110,35,NA,NA,NA,NA,NA,NA,34.7,9.6,945010,2016,NA,NA,115.5,"KP16SP38","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"249",249,"KP16Sp40","2016-07-09",2016,92,367,298,38,NA,NA,NA,NA,NA,NA,27.8,6.7,10061672,2016,NA,NA,332.5,"KP16SP40","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"250",250,"KP16Sa1","2016-07-09",2016,4,37,25,4,NA,NA,NA,NA,NA,NA,13.6,4.7,3700,2016,NA,NA,31,"KP16SA1","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"251",251,"KP16Sa2","2016-07-09",2016,7,122,68,7,NA,NA,NA,NA,NA,NA,26.1,9.1,58072,2016,NA,NA,95,"KP16SA2","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"252",252,"KP16Sa3","2016-07-09",2016,5,50,43,5,NA,NA,NA,NA,NA,NA,5.3,7.2,10750,2016,NA,NA,46.5,"KP16SA3","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"253",253,"KP16Sa4","2016-07-09",2016,6.5,54,32,8,NA,NA,NA,NA,NA,NA,21.4,8,11232,2016,NA,NA,43,"KP16SA4","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"254",254,"KP16Sa5","2016-07-09",2016,6,45,61,7,NA,NA,NA,NA,NA,NA,11.5,8.1,16470,2016,NA,NA,53,"KP16SA5","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"255",255,"KP16Sa6","2016-07-09",2016,5,55,40,7,NA,NA,NA,NA,NA,NA,19.9,7.8,11000,2016,NA,NA,47.5,"KP16SA6","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"256",256,"KP16Sa7","2016-07-09",2016,4,155,32,5,NA,NA,NA,NA,NA,NA,14.2,4.9,19840,2016,NA,NA,93.5,"KP16SA7","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"257",257,"KP16Sa8","2016-07-09",2016,6,57,50,6,NA,NA,NA,NA,NA,NA,15.9,8.3,17100,2016,NA,NA,53.5,"KP16SA8","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"258",258,"KP16Sa9","2016-07-09",2016,5,55,37,10,NA,NA,NA,NA,NA,NA,19.1,9.5,10175,2016,NA,NA,46,"KP16SA9","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"259",259,"KP16Sa10","2016-07-09",2016,7,66,57,20,NA,NA,NA,NA,NA,NA,17.8,10.3,26334,2016,NA,NA,61.5,"KP16SA10","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"260",260,"KP16Sa11","2016-08-08",2016,6,62,41,8,NA,NA,NA,NA,NA,NA,20.1,7.5,15252,2016,NA,NA,51.5,"KP16SA11","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"261",261,"KP16Sa13","2016-08-08",2016,4.5,50,23,13,NA,NA,NA,NA,NA,NA,13.1,9.8,5175,2016,NA,NA,36.5,"KP16SA13","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"262",262,"KP16Sa14","2016-08-08",2016,7,41,35,9,NA,NA,NA,NA,NA,NA,17.2,9.7,10045,2016,NA,NA,38,"KP16SA14","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"263",263,"KP16Sa15","2016-08-08",2016,4.5,53,40,8,NA,NA,NA,NA,NA,NA,16.9,7.4,9540,2016,NA,NA,46.5,"KP16SA15","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"264",264,"KP16Sa16","2016-08-08",2016,5,68,25,6,NA,NA,NA,NA,NA,NA,13,6.9,8500,2016,NA,NA,46.5,"KP16SA16","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"265",265,"KP16Sa18","2016-08-08",2016,6,7.2,42,6,NA,NA,NA,NA,NA,NA,15.4,6.5,1814.4,2016,NA,NA,24.6,"KP16SA18","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"266",266,"KP16Sa19","2016-08-08",2016,6,64,53,6,NA,NA,NA,NA,NA,NA,17.5,6.7,20352,2016,NA,NA,58.5,"KP16SA19","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"267",270,"HE16SP1","2016-08-06",2016,23,39,27,9,NA,NA,NA,NA,NA,NA,43,NA,24219,2016,NA,NA,33,"HE16SP1","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"268",271,"HE16SP2","2016-08-06",2016,26,39,27,9,NA,NA,NA,NA,NA,NA,37,NA,27378,2016,NA,NA,33,"HE16SP2","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"269",272,"HE16SP3","2016-08-06",2016,24,36,26,10,NA,NA,NA,NA,NA,NA,49,NA,22464,2016,NA,NA,31,"HE16SP3","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"270",273,"HE16SP4","2016-08-06",2016,35,43,47,10,NA,NA,NA,NA,NA,NA,51,NA,70735,2016,NA,NA,45,"HE16SP4","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"271",274,"HE16SP5","2016-08-06",2016,29,55,51,9,NA,NA,NA,NA,NA,NA,62,NA,81345,2016,NA,NA,53,"HE16SP5","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"272",275,"HE16SP6","2016-08-06",2016,71,496,404,23,NA,NA,NA,NA,NA,NA,57,NA,14227264,2016,NA,NA,450,"HE16SP6","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"273",276,"HE16SP7","2016-08-06",2016,55,NA,NA,21,NA,NA,NA,NA,NA,NA,50,NA,NA,2016,NA,NA,NA,"HE16SP7","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"274",277,"HE16SP8","2016-08-06",2016,34,184,170,9,NA,NA,NA,NA,NA,NA,31,NA,1063520,2016,NA,NA,177,"HE16SP8","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"275",278,"HE16SP9","2016-08-06",2016,53,222,170,11,NA,NA,NA,NA,NA,NA,41,NA,2000220,2016,NA,NA,196,"HE16SP9","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"276",279,"HE16SP10","2016-08-06",2016,40,232,227,25,NA,NA,NA,NA,NA,NA,59,NA,2106560,2016,NA,NA,229.5,"HE16SP10","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"277",280,"HE16SP12","2016-08-06",2016,17,40,47,7,38,42,NA,40,38,NA,18.3,4.6,31960,2016,NA,NA,43.5,"HE16SP12","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"278",281,"HE16SP13","2016-08-06",2016,23,100,59,7,36,50,NA,30,21,NA,25.1,7.1,135700,2016,NA,NA,79.5,"HE16SP13","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"279",282,"HE16SP15","2016-08-06",2016,19,111,72,7,43,41,NA,35,15,NA,19.9,6.6,151848,2016,NA,NA,91.5,"HE16SP15","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"280",283,"HE16SP16","2016-08-06",2016,21,194,153,10.5,42,41,NA,54,53,NA,31.5,9,623322,2016,NA,NA,173.5,"HE16SP16","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"281",284,"HE16SP17","2016-08-06",2016,28.5,188,155,7.3,33,33,NA,40,42,NA,30.4,7.4,830490,2016,NA,NA,171.5,"HE16SP17","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"282",285,"HE16SP18","2016-08-06",2016,39,281,175,10.9,47,48,NA,49,76,NA,35,8.6,1917825,2016,NA,NA,228,"HE16SP18","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"283",286,"HE16SP19","2016-08-06",2016,13,59,46,10.6,57,49,NA,105,57,NA,31.4,7.1,35282,2016,NA,NA,52.5,"HE16SP19","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"284",287,"HE16SP20","2016-08-06",2016,26.5,230,130,7.9,46,46,NA,22,26,NA,38.2,5.9,792350,2016,NA,NA,180,"HE16SP20","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"285",288,"HE16Sa1","2016-08-06",2016,25,NA,NA,8,NA,NA,NA,NA,NA,NA,31.6,5.7,NA,2016,NA,NA,NA,"HE16SA1","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"286",289,"HE16Sa2","2016-08-06",2016,6,NA,NA,18,NA,NA,NA,NA,NA,NA,15.3,9.7,NA,2016,NA,NA,NA,"HE16SA2","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"287",290,"HE16Sa3","2016-08-06",2016,8,172,83,10,NA,NA,NA,NA,NA,NA,18.1,7,114208,2016,NA,NA,127.5,"HE16SA3","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"288",291,"HE16Sa5","2016-08-06",2016,10,235,143,6.9,NA,NA,NA,NA,NA,NA,26.9,6.9,336050,2016,NA,NA,189,"HE16SA5","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"289",292,"HE16Sr11","2016-08-09",2016,124,NA,764,31.8,61,61,NA,121,100,NA,34,11,NA,2016,NA,NA,NA,"HE16SR11","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"290",293,"HE16Sr12","2016-08-09",2016,68,427,237,24,47,43,NA,105,50,NA,39.2,8.8,6881532,2016,NA,NA,332,"HE16SR12","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"291",294,"HE16Sr13","2016-08-09",2016,70,491,284,27,45,54,NA,60,71,NA,28.7,9.3,9761080,2016,NA,NA,387.5,"HE16SR13","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"292",295,"HE16Sr14","2016-08-09",2016,34,206,147,16,44,40,NA,30,24,NA,28.2,8.7,1029588,2016,NA,NA,176.5,"HE16SR14","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"293",296,"HE16Sr15","2016-08-09",2016,38,232,150,18,40,35,NA,24,25,NA,32.1,10.2,1322400,2016,NA,NA,191,"HE16SR15","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"294",297,"HE16SR16","2016-08-09",2016,67,331,220,33,47,46,NA,95,48,NA,31.2,11.2,4878940,2016,NA,NA,275.5,"HE16SR16","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"295",298,"HE16SR17","2016-08-09",2016,65,229,221,26.6,104,89,NA,65,63,NA,36.5,10.9,3289585,2016,NA,NA,225,"HE16SR17","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"296",299,"HE16SR18","2016-08-09",2016,59,183,155,20.3,82,81,NA,270,277,NA,36.7,9.6,1673535,2016,NA,NA,169,"HE16SR18","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"297",300,"HE16SR19","2016-08-09",2016,62,403,624,21.7,58,62,NA,172,151,NA,33.6,10,15591264,2016,NA,NA,513.5,"HE16SR19","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"298",301,"HE16SR20","2016-08-09",2016,33,132,188,9,50,48,NA,61,67,NA,38,7.1,818928,2016,NA,NA,160,"HE16SR20","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"299",302,"HE16SA6","2016-08-06",2016,8,60,19,8,NA,NA,NA,NA,NA,NA,20.2,7.7,9120,2016,NA,NA,39.5,"HE16SA6","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"300",303,"HE16SA7","2016-08-06",2016,11,56,27,6,NA,NA,NA,NA,NA,NA,27.6,6.1,16632,2016,NA,NA,41.5,"HE16SA7","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"301",304,"HE16SA9","2016-08-06",2016,7,127,88,8.6,NA,NA,NA,NA,NA,NA,30.2,8.3,78232,2016,NA,NA,107.5,"HE16SA9","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"302",305,"HE16SA10","2016-08-06",2016,6,40,66,23.6,NA,NA,NA,NA,NA,NA,20.8,6.2,15840,2016,NA,NA,53,"HE16SA10","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"303",306,"HE16SP21","2016-08-06",2016,39,217,277,16.9,48,52,NA,124,49,NA,45.2,11.9,2344251,2016,NA,NA,247,"HE16SP21","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"304",307,"HE16SP23","2016-08-06",2016,55,1005,462,12,50,48,NA,112,103,NA,46.4,9.3,25537050,2016,NA,NA,733.5,"HE16SP23","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"305",308,"HE16SP24","2016-08-06",2016,77,515,306,15.6,62,46,NA,205,66,NA,44.9,8.8,12134430,2016,NA,NA,410.5,"HE16SP24","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"306",309,"HE16SP25","2016-08-06",2016,83,238,283,14.9,53,51,NA,81,137,NA,47.2,13.6,5590382,2016,NA,NA,260.5,"HE16SP25","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"307",310,"HE16SP26","2016-08-06",2016,91,367,568,12.7,66,67,NA,109,88,NA,35.2,9.8,18969496,2016,NA,NA,467.5,"HE16SP26","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"308",311,"HE16SP27","2016-08-06",2016,39,141,89,12.9,40,42,NA,31,38,NA,36,11.5,489411,2016,NA,NA,115,"HE16SP27","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"309",312,"HE16SP28","2016-08-06",2016,35,NA,NA,8.1,54,49,NA,79,38,NA,20.5,8.8,NA,2016,NA,NA,NA,"HE16SP28","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"310",313,"HE16SP29","2016-08-06",2016,53,652,426,13,51,55,NA,166,156,NA,44.5,12.1,14720856,2016,NA,NA,539,"HE16SP29","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"311",314,"HE16SP30","2016-08-06",2016,52,428,402,15.6,97,76,NA,181,260,NA,46.5,12.9,8946912,2016,NA,NA,415,"HE16SP30","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"312",315,"HE16SR21","2016-08-06",2016,69,115,95,20,NA,NA,NA,NA,NA,NA,35.6,8.5,753825,2016,NA,NA,105,"HE16SR21","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"313",316,"HE16SR22","2016-08-06",2016,77,120,109,15,NA,NA,NA,NA,NA,NA,34.7,10.1,1007160,2016,NA,NA,114.5,"HE16SR22","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"314",317,"HE16SR23","2016-08-06",2016,62,157,128,24,NA,NA,NA,NA,NA,NA,39.1,8.5,1245952,2016,NA,NA,142.5,"HE16SR23","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"315",318,"HE16SR25","2016-08-06",2016,29,68,80,25,NA,NA,NA,NA,NA,NA,22.5,7.4,157760,2016,NA,NA,74,"HE16SR25","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"316",319,"HE16Sr26","2016-08-06",2016,35,110,40,10,NA,NA,NA,NA,NA,NA,25.2,8.8,154000,2016,NA,NA,75,"HE16SR26","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"317",320,"HE16Sr27","2016-08-06",2016,25,127,161,15,NA,NA,NA,NA,NA,NA,30.4,8.2,511175,2016,NA,NA,144,"HE16SR27","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"318",321,"HE16Sr28","2016-08-06",2016,30,106,82,19,NA,NA,NA,NA,NA,NA,24,8,260760,2016,NA,NA,94,"HE16SR28","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"319",322,"HE16Sr29","2016-08-06",2016,38,126,95,19,NA,NA,NA,NA,NA,NA,30.5,9.5,454860,2016,NA,NA,110.5,"HE16SR29","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"320",323,"HE16SA11","2016-08-06",2016,8,44,29,9,NA,NA,NA,NA,NA,NA,28,8.4,10208,2016,NA,NA,36.5,"HE16SA11","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"321",324,"HE16SA12","2016-08-06",2016,12,54,44,7,NA,NA,NA,NA,NA,NA,15.6,7.7,28512,2016,NA,NA,49,"HE16SA12","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"322",325,"HE16SA13","2016-08-06",2016,8.5,44,69,5,NA,NA,NA,NA,NA,NA,24,3.5,25806,2016,NA,NA,56.5,"HE16SA13","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"323",326,"HE16SA14","2016-08-06",2016,12,39,35,5.1,NA,NA,NA,NA,NA,NA,19.1,5.7,16380,2016,NA,NA,37,"HE16SA14","Qikiqtaruk","Salix arctica",NA,NA,NA,NA,NA,NA
"324",327,"KP16SP41","2016-08-08",2016,106,179,73,34,74,81,NA,151,145,NA,50.8,7.6,1385102,2016,NA,NA,126,"KP16SP41","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"325",328,"KP16SP42","2016-08-08",2016,99.5,248,251,25,52,55,NA,121,140,NA,42,9.8,6193676,2016,NA,NA,249.5,"KP16SP42","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"326",329,"KP16SP43","2016-08-08",2016,73,251,162,17,66,62,NA,87,263,NA,47.5,8.3,2968326,2016,NA,NA,206.5,"KP16SP43","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"327",330,"KP16SP44","2016-08-08",2016,127,256,191,34,86,87,NA,65,115,NA,41.9,7.4,6209792,2016,NA,NA,223.5,"KP16SP44","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"328",331,"KP16SP45","2016-08-08",2016,93,185,154,24,59,54,NA,135,141,NA,41.1,8.7,2649570,2016,NA,NA,169.5,"KP16SP45","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"329",332,"KP16SP46","2016-08-08",2016,140,276,273,37,9.4,8.7,NA,12.6,18.7,NA,42.9,10.3,10548720,2016,NA,NA,274.5,"KP16SP46","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"330",333,"KP16SP47","2016-08-08",2016,108,279,190,29.1,8.1,7.3,NA,13.3,13.2,NA,32.5,14.9,5725080,2016,NA,NA,234.5,"KP16SP47","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"331",334,"KP16SP48","2016-08-08",2016,52,118,107,19.5,3.1,4.3,NA,8,13.7,NA,36.2,11.6,656552,2016,NA,NA,112.5,"KP16SP48","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"332",335,"KP16SP49","2016-08-08",2016,101,310,226,43.8,6.3,5.8,NA,12.3,7.4,NA,36.4,11,7076060,2016,NA,NA,268,"KP16SP49","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"333",336,"KP16SP50","2016-08-08",2016,58,132,212,22.7,6.8,7.1,NA,16.6,13.9,NA,41.5,13.4,1623072,2016,NA,NA,172,"KP16SP50","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"334",337,"KP16SP51","2016-08-09",2016,150,146,121,26,75,77,NA,121,85,NA,42.3,12.4,2649900,2016,NA,NA,133.5,"KP16SP51","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"335",338,"KP16SP52","2016-08-09",2016,37,193,97,19,61,72,NA,110,140,NA,35,8.1,692677,2016,NA,NA,145,"KP16SP52","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"336",339,"KP16SP53","2016-08-09",2016,112,264,257,39,65,72,NA,136,148,NA,30.5,7,7598976,2016,NA,NA,260.5,"KP16SP53","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"337",340,"KP16SP56","2016-08-09",2016,107,159,148,33,6.2,5.9,NA,8,3.1,NA,41.2,10.8,2517924,2016,NA,NA,153.5,"KP16SP56","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"338",341,"KP16SP57","2016-08-09",2016,47,184,184,15.1,6.3,6.2,NA,7.2,7.5,NA,34.8,7.9,1591232,2016,NA,NA,184,"KP16SP57","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"339",342,"KP16SP59","2016-08-09",2016,41,146,102,15.2,4.9,4.6,NA,3.9,5.5,NA,47.5,10.4,610572,2016,NA,NA,124,"KP16SP59","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"340",343,"KP16SP60","2016-08-09",2016,87,354,338,31.7,7.2,6.6,NA,9.8,13.4,NA,37.8,18.6,10409724,2016,NA,NA,346,"KP16SP60","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"341",344,"KP16SR41","2016-08-09",2016,141,102,81,32,61,63,NA,131,142,NA,43.4,9.1,1164942,2016,NA,NA,91.5,"KP16SR41","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"342",345,"KP16SR42","2016-08-09",2016,108,154,186,37,72,75,NA,119,138,NA,38.5,11.4,3093552,2016,NA,NA,170,"KP16SR42","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"343",346,"KP16SR43","2016-08-09",2016,111,272,250,61,71,85,NA,132,162,NA,51.6,10.3,7548000,2016,NA,NA,261,"KP16SR43","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"344",347,"KP16SR44","2016-08-09",2016,66,222,187,34,66,71,NA,207,109,NA,43.5,12.7,2739924,2016,NA,NA,204.5,"KP16SR44","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"345",348,"KP16SR45","2016-08-09",2016,76,206,207,44,62,59,NA,96,105,NA,43.4,11.3,3240792,2016,NA,NA,206.5,"KP16SR45","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"346",349,"KP16SR46","2016-08-09",2016,124.5,245,193,64.1,6.5,6.9,NA,14.5,14.5,NA,54.8,14.3,5886982.5,2016,NA,NA,219,"KP16SR46","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"347",350,"KP16SR47","2016-08-09",2016,116,193,179,33.5,8.5,9.3,NA,9.4,15.6,NA,35.4,11.2,4007452,2016,NA,NA,186,"KP16SR47","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"348",351,"KP16SR48","2016-08-09",2016,61,54,37,18.1,4.2,4.4,NA,8.4,7.2,NA,39.9,6.9,121878,2016,NA,NA,45.5,"KP16SR48","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"349",352,"KP16SR49","2016-08-09",2016,88,213,198,47.6,8.1,7.5,NA,10.1,10.9,NA,45.5,20.4,3711312,2016,NA,NA,205.5,"KP16SR49","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"350",353,"KP16SR50","2016-08-09",2016,143,165,215,51.8,7.3,6.8,NA,11.5,13.1,NA,37.5,19.1,5072925,2016,NA,NA,190,"KP16SR50","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"351",354,"KP16SR51","2016-08-09",2016,67,142,115,35,56,57,NA,101,138,NA,46.7,10.5,1094110,2016,NA,NA,128.5,"KP16SR51","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"352",355,"KP16SR52","2016-08-09",2016,71,145,104,25,51,50,NA,115,133,NA,34.1,9.7,1070680,2016,NA,NA,124.5,"KP16SR52","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"353",356,"KP16SR53","2016-08-09",2016,92,248,218,36,46,48,NA,71,56,NA,36.3,9.1,4973888,2016,NA,NA,233,"KP16SR53","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"354",357,"KP16SR54","2016-08-09",2016,66,123,114,20,70,81,NA,165,183,NA,28.1,7.7,925452,2016,NA,NA,118.5,"KP16SR54","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"355",358,"KP16SR55","2016-08-09",2016,44,102,65,12,50,53,NA,90,96,NA,31.7,8.1,291720,2016,NA,NA,83.5,"KP16SR55","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"356",359,"KP16SR56","2016-08-09",2016,102,189,197,36.8,5.3,5.8,NA,12.2,12.1,NA,46.6,9.6,3797766,2016,NA,NA,193,"KP16SR56","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"357",360,"KP16SR57","2016-08-09",2016,70,122,95,22.7,6.7,6.1,NA,9.6,4,NA,43.4,12.7,811300,2016,NA,NA,108.5,"KP16SR57","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"358",361,"KP16SR58","2016-08-09",2016,54,104,84,20.8,5.7,5.6,NA,4.4,5.5,NA,33.2,9.2,471744,2016,NA,NA,94,"KP16SR58","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
